userSeq,userId,email,birth,gender,mbti,moods
1,u3Y00NaQze1ZG,test@naver.com,1995-05-27,TRUE,infp,이국적인
2,utT9nWbWtdgaP,ssafy@naver.com,2003-05-06,TRUE,estj,현대적인
3,uzYaePbx00003,ssafy3@naver.com,2002-12-12,TRUE,intp,현대적인
4,uzYaePbx00004,ssafy4@naver.com,1996-07-17,TRUE,estj,자연주의
5,uzYaePbx00005,ssafy5@naver.com,1995-05-05,TRUE,estj,낭만적인
6,uzYaePbx00006,ssafy6@naver.com,1996-04-20,TRUE,isfj,현대적인
7,uzYaePbx00007,ssafy7@naver.com,1998-04-07,TRUE,infj,자연주의
8,uzYaePbx00008,ssafy8@naver.com,1999-10-09,TRUE,intj,현대적인
9,uzYaePbx00009,ssafy9@naver.com,2002-08-18,TRUE,infp,낭만적인
10,uzYaePbx00010,ssafy10@naver.com,1996-09-02,TRUE,isfp,자연주의
11,uzYaePbx00011,ssafy11@naver.com,2001-04-02,TRUE,enfp,기타
12,uzYaePbx00012,ssafy12@naver.com,2002-09-27,TRUE,istp,자연주의
13,uzYaePbx00013,ssafy13@naver.com,2001-04-22,TRUE,istp,복고풍의
14,uzYaePbx00014,ssafy14@naver.com,1994-08-15,TRUE,entj,자연주의
15,uzYaePbx00015,ssafy15@naver.com,2003-03-18,TRUE,infp,활동적인
16,uzYaePbx00016,ssafy16@naver.com,2001-05-08,TRUE,intj,이국적인
17,uzYaePbx00017,ssafy17@naver.com,1999-10-08,TRUE,intp,현대적인
18,uzYaePbx00018,ssafy18@naver.com,1995-02-26,TRUE,enfj,복고풍의
19,uzYaePbx00019,ssafy19@naver.com,2002-09-08,TRUE,istj,낭만적인
20,uzYaePbx00020,ssafy20@naver.com,2003-08-29,TRUE,estj,야경풍의
21,uzYaePbx00021,ssafy21@naver.com,1999-04-26,TRUE,entp,복고풍의
22,uzYaePbx00022,ssafy22@naver.com,1998-11-14,TRUE,estp,기타
23,uzYaePbx00023,ssafy23@naver.com,1994-05-13,TRUE,isfj,낭만적인
24,uzYaePbx00024,ssafy24@naver.com,1995-06-24,TRUE,isfp,야경풍의
25,uzYaePbx00025,ssafy25@naver.com,1998-04-04,TRUE,infj,현대적인
26,uzYaePbx00026,ssafy26@naver.com,1995-07-06,TRUE,estj,평화로운
27,uzYaePbx00027,ssafy27@naver.com,2002-11-12,TRUE,estj,자연주의
28,uzYaePbx00028,ssafy28@naver.com,1998-04-12,TRUE,enfp,자연주의
29,uzYaePbx00029,ssafy29@naver.com,1994-06-20,TRUE,esfj,현대적인
30,uzYaePbx00030,ssafy30@naver.com,1996-03-14,TRUE,isfj,낭만적인
31,uzYaePbx00031,ssafy31@naver.com,2000-03-25,TRUE,entp,야경풍의
32,uzYaePbx00032,ssafy32@naver.com,2002-08-23,TRUE,esfp,야경풍의
33,uzYaePbx00033,ssafy33@naver.com,2002-01-05,TRUE,entj,평화로운
34,uzYaePbx00034,ssafy34@naver.com,2001-07-07,TRUE,infp,현대적인
35,uzYaePbx00035,ssafy35@naver.com,2002-08-21,TRUE,isfp,복고풍의
36,uzYaePbx00036,ssafy36@naver.com,1996-08-26,TRUE,estp,평화로운
37,uzYaePbx00037,ssafy37@naver.com,2003-09-10,TRUE,enfj,이국적인
38,uzYaePbx00038,ssafy38@naver.com,1995-08-01,TRUE,esfj,이국적인
39,uzYaePbx00039,ssafy39@naver.com,1998-04-28,TRUE,estj,복고풍의
40,uzYaePbx00040,ssafy40@naver.com,2000-06-12,TRUE,intj,평화로운
41,uzYaePbx00041,ssafy41@naver.com,2000-12-22,TRUE,estj,이국적인
42,uzYaePbx00042,ssafy42@naver.com,1994-04-06,TRUE,intp,평화로운
43,uzYaePbx00043,ssafy43@naver.com,1999-01-13,TRUE,estp,기타
44,uzYaePbx00044,ssafy44@naver.com,2002-09-23,TRUE,esfj,야경풍의
45,uzYaePbx00045,ssafy45@naver.com,1994-08-04,TRUE,esfp,기타
46,uzYaePbx00046,ssafy46@naver.com,1999-11-14,TRUE,estj,야경풍의
47,uzYaePbx00047,ssafy47@naver.com,1996-02-21,TRUE,infj,이국적인
48,uzYaePbx00048,ssafy48@naver.com,1997-02-12,TRUE,enfp,평화로운
49,uzYaePbx00049,ssafy49@naver.com,2004-01-27,TRUE,entj,평화로운
50,uzYaePbx00050,ssafy50@naver.com,1995-05-18,TRUE,estj,활동적인
51,uzYaePbx00051,ssafy51@naver.com,2003-10-06,TRUE,istj,평화로운
52,uzYaePbx00052,ssafy52@naver.com,1997-03-11,TRUE,estp,현대적인
53,uzYaePbx00053,ssafy53@naver.com,1997-02-26,TRUE,isfj,복고풍의
54,uzYaePbx00054,ssafy54@naver.com,2000-03-10,TRUE,intj,활동적인
55,uzYaePbx00055,ssafy55@naver.com,1994-04-24,TRUE,intp,자연주의
56,uzYaePbx00056,ssafy56@naver.com,2004-02-20,TRUE,entj,현대적인
57,uzYaePbx00057,ssafy57@naver.com,1997-12-17,TRUE,enfj,자연주의
58,uzYaePbx00058,ssafy58@naver.com,1994-09-14,TRUE,istp,자연주의
59,uzYaePbx00059,ssafy59@naver.com,2004-05-22,TRUE,entp,낭만적인
60,uzYaePbx00060,ssafy60@naver.com,2001-09-10,TRUE,intp,현대적인
61,uzYaePbx00061,ssafy61@naver.com,1996-03-16,TRUE,infj,이국적인
62,uzYaePbx00062,ssafy62@naver.com,2000-02-11,TRUE,estp,복고풍의
63,uzYaePbx00063,ssafy63@naver.com,1996-07-09,TRUE,estj,평화로운
64,uzYaePbx00064,ssafy64@naver.com,1998-12-13,TRUE,estj,자연주의
65,uzYaePbx00065,ssafy65@naver.com,1995-12-14,TRUE,esfj,평화로운
66,uzYaePbx00066,ssafy66@naver.com,2002-02-06,TRUE,infj,낭만적인
67,uzYaePbx00067,ssafy67@naver.com,1996-02-22,TRUE,intj,복고풍의
68,uzYaePbx00068,ssafy68@naver.com,2003-07-28,TRUE,entp,자연주의
69,uzYaePbx00069,ssafy69@naver.com,2002-04-28,TRUE,enfj,복고풍의
70,uzYaePbx00070,ssafy70@naver.com,2004-06-30,TRUE,isfj,기타
71,uzYaePbx00071,ssafy71@naver.com,2004-01-20,TRUE,enfj,자연주의
72,uzYaePbx00072,ssafy72@naver.com,1998-03-24,TRUE,entp,활동적인
73,uzYaePbx00073,ssafy73@naver.com,1999-04-30,TRUE,entj,낭만적인
74,uzYaePbx00074,ssafy74@naver.com,1997-06-07,TRUE,infp,이국적인
75,uzYaePbx00075,ssafy75@naver.com,2000-08-11,TRUE,entj,야경풍의
76,uzYaePbx00076,ssafy76@naver.com,1995-09-23,TRUE,intp,낭만적인
77,uzYaePbx00077,ssafy77@naver.com,1998-09-07,TRUE,istp,야경풍의
78,uzYaePbx00078,ssafy78@naver.com,1997-02-27,TRUE,infp,평화로운
79,uzYaePbx00079,ssafy79@naver.com,1996-08-09,TRUE,infj,이국적인
80,uzYaePbx00080,ssafy80@naver.com,1999-03-30,TRUE,infp,복고풍의
81,uzYaePbx00081,ssafy81@naver.com,2000-08-16,TRUE,intj,평화로운
82,uzYaePbx00082,ssafy82@naver.com,1995-02-07,TRUE,infp,야경풍의
83,uzYaePbx00083,ssafy83@naver.com,1999-06-29,TRUE,esfp,현대적인
84,uzYaePbx00084,ssafy84@naver.com,1995-09-15,TRUE,intj,평화로운
85,uzYaePbx00085,ssafy85@naver.com,1994-09-26,TRUE,enfj,기타
86,uzYaePbx00086,ssafy86@naver.com,1996-11-26,TRUE,esfp,야경풍의
87,uzYaePbx00087,ssafy87@naver.com,2000-01-15,TRUE,esfj,기타
88,uzYaePbx00088,ssafy88@naver.com,2001-04-19,TRUE,intp,낭만적인
89,uzYaePbx00089,ssafy89@naver.com,2000-05-20,TRUE,entj,이국적인
90,uzYaePbx00090,ssafy90@naver.com,1997-06-22,TRUE,intp,복고풍의
91,uzYaePbx00091,ssafy91@naver.com,1998-07-12,TRUE,esfp,낭만적인
92,uzYaePbx00092,ssafy92@naver.com,1996-12-13,TRUE,intp,이국적인
93,uzYaePbx00093,ssafy93@naver.com,2004-04-07,TRUE,esfp,기타
94,uzYaePbx00094,ssafy94@naver.com,1995-02-27,TRUE,entp,활동적인
95,uzYaePbx00095,ssafy95@naver.com,2003-10-22,TRUE,esfj,낭만적인
96,uzYaePbx00096,ssafy96@naver.com,1995-08-05,TRUE,estj,기타
97,uzYaePbx00097,ssafy97@naver.com,1999-06-24,TRUE,infp,야경풍의
98,uzYaePbx00098,ssafy98@naver.com,1996-04-17,TRUE,enfp,야경풍의
99,uzYaePbx00099,ssafy99@naver.com,2000-12-01,TRUE,enfp,평화로운
100,uzYaePbx00100,ssafy100@naver.com,2002-08-23,TRUE,entp,복고풍의
101,uzYaePbx00101,ssafy101@naver.com,1997-10-09,TRUE,infj,이국적인
102,uzYaePbx00102,ssafy102@naver.com,1999-08-21,TRUE,entj,자연주의
103,uzYaePbx00103,ssafy103@naver.com,2002-07-02,TRUE,istp,기타
104,uzYaePbx00104,ssafy104@naver.com,1999-03-12,TRUE,estj,기타
105,uzYaePbx00105,ssafy105@naver.com,2003-08-22,TRUE,intj,평화로운
106,uzYaePbx00106,ssafy106@naver.com,2002-06-11,TRUE,istp,복고풍의
107,uzYaePbx00107,ssafy107@naver.com,1994-08-10,TRUE,estj,기타
108,uzYaePbx00108,ssafy108@naver.com,1994-08-07,TRUE,istp,기타
109,uzYaePbx00109,ssafy109@naver.com,1998-10-07,TRUE,enfp,활동적인
110,uzYaePbx00110,ssafy110@naver.com,2002-10-17,TRUE,istj,자연주의
111,uzYaePbx00111,ssafy111@naver.com,1996-03-02,TRUE,esfj,복고풍의
112,uzYaePbx00112,ssafy112@naver.com,1995-12-25,TRUE,esfp,자연주의
113,uzYaePbx00113,ssafy113@naver.com,1995-10-18,TRUE,enfp,현대적인
114,uzYaePbx00114,ssafy114@naver.com,1998-11-10,TRUE,enfj,기타
115,uzYaePbx00115,ssafy115@naver.com,1994-09-14,TRUE,istj,기타
116,uzYaePbx00116,ssafy116@naver.com,2002-07-30,TRUE,infj,야경풍의
117,uzYaePbx00117,ssafy117@naver.com,2002-11-13,TRUE,istp,자연주의
118,uzYaePbx00118,ssafy118@naver.com,2003-12-25,TRUE,intj,복고풍의
119,uzYaePbx00119,ssafy119@naver.com,1997-08-27,TRUE,intj,기타
120,uzYaePbx00120,ssafy120@naver.com,2000-09-07,TRUE,enfj,자연주의
121,uzYaePbx00121,ssafy121@naver.com,2002-11-26,TRUE,istj,복고풍의
122,uzYaePbx00122,ssafy122@naver.com,2000-01-06,TRUE,isfp,현대적인
123,uzYaePbx00123,ssafy123@naver.com,2003-09-20,TRUE,isfp,평화로운
124,uzYaePbx00124,ssafy124@naver.com,1997-02-08,TRUE,estp,활동적인
125,uzYaePbx00125,ssafy125@naver.com,1998-01-14,TRUE,estj,낭만적인
126,uzYaePbx00126,ssafy126@naver.com,1998-11-25,TRUE,estp,복고풍의
127,uzYaePbx00127,ssafy127@naver.com,1997-03-24,TRUE,entp,현대적인
128,uzYaePbx00128,ssafy128@naver.com,2004-03-27,TRUE,estp,자연주의
129,uzYaePbx00129,ssafy129@naver.com,1994-09-02,TRUE,isfp,낭만적인
130,uzYaePbx00130,ssafy130@naver.com,2003-08-11,TRUE,infj,기타
131,uzYaePbx00131,ssafy131@naver.com,1998-05-05,TRUE,intp,활동적인
132,uzYaePbx00132,ssafy132@naver.com,1998-03-29,TRUE,infj,복고풍의
133,uzYaePbx00133,ssafy133@naver.com,1994-12-22,TRUE,enfp,현대적인
134,uzYaePbx00134,ssafy134@naver.com,1994-05-21,TRUE,istp,이국적인
135,uzYaePbx00135,ssafy135@naver.com,2004-01-01,TRUE,infj,야경풍의
136,uzYaePbx00136,ssafy136@naver.com,2000-07-12,TRUE,infp,활동적인
